"","word","len","model","prompt","prompt_id","output","correct_answer","out_letters","answer_grep"
"61","Bouncing","8","text-davinci-003","Spell the word Bouncing backwards","1","

gninuocnib","GNICNUOB","GNINUOCNIB",FALSE
"62","Clamping","8","text-davinci-003","Spell the word Clamping backwards","1","

gnimpmalC","GNIPMALC","GNIMPMALC",FALSE
"63","Dreaming","8","text-davinci-003","Spell the word Dreaming backwards","1","

gnimaerD","GNIMAERD","GNIMAERD",TRUE
"64","Haunting","8","text-davinci-003","Spell the word Haunting backwards","1","

gnitnuah","GNITNUAH","GNITNUAH",TRUE
"65","Laughing","8","text-davinci-003","Spell the word Laughing backwards","1","

gniffal","GNIHGUAL","GNIFFAL",FALSE
"66","Chanting","8","text-davinci-003","Spell the word Chanting backwards","1","

gnitnahc","GNITNAHC","GNITNAHC",TRUE
"67","Grinning","8","text-davinci-003","Spell the word Grinning backwards","1","

Nignirg","GNINNIRG","NIGNIRG",FALSE
"68","Swimming","8","text-davinci-003","Spell the word Swimming backwards","1","

gnimmiws","GNIMMIWS","GNIMMIWS",TRUE
"69","Accident","8","text-davinci-003","Spell the word Accident backwards","1","

tnediccaA","TNEDICCA","TNEDICCAA",TRUE
"70","Building","8","text-davinci-003","Spell the word Building backwards","1","

gnildniuB","GNIDLIUB","GNILDNIUB",FALSE
"71","Birthday","8","text-davinci-003","Spell the word Birthday backwards","1","

yadhtriB","YADHTRIB","YADHTRIB",TRUE
"72","Breathing","9","text-davinci-003","Spell the word Breathing backwards","1","

gnihtaeB","GNIHTAERB","GNIHTAEB",FALSE
"73","Backpacks","9","text-davinci-003","Spell the word Backpacks backwards","1","

skcappakcab","SKCAPKCAB","SKCAPPAKCAB",FALSE
"74","Adulthood","9","text-davinci-003","Spell the word Adulthood backwards","1","

tlufdlaA","DOOHTLUDA","TLUFDLAA",FALSE
"75","Equipping","9","text-davinci-003","Spell the word Equipping backwards","1","

gnippiuqE","GNIPPIUQE","GNIPPIUQE",TRUE
"76","Victimize","9","text-davinci-003","Spell the word Victimize backwards","1","

ezicimitV","EZIMITCIV","EZICIMITV",FALSE
"77","Knockoffs","9","text-davinci-003","Spell the word Knockoffs backwards","1","

Skoffockn","SFFOKCONK","SKOFFOCKN",FALSE
"78","Backtrack","9","text-davinci-003","Spell the word Backtrack backwards","1","

Kcartkcab","KCARTKCAB","KCARTKCAB",TRUE
"79","Chipmunks","9","text-davinci-003","Spell the word Chipmunks backwards","1","

Sknumpihc","SKNUMPIHC","SKNUMPIHC",TRUE
"80","Cyberpunk","9","text-davinci-003","Spell the word Cyberpunk backwards","1","

Knurpbyc","KNUPREBYC","KNURPBYC",FALSE
"81","Paychecks","9","text-davinci-003","Spell the word Paychecks backwards","1","

sekcyap","SKCEHCYAP","SEKCYAP",FALSE
"82","Delightful","10","text-davinci-003","Spell the word Delightful backwards","1","

fulteidl","LUFTHGILED","FULTEIDL",FALSE
"83","Enchanting","10","text-davinci-003","Spell the word Enchanting backwards","1","

gnitnahcne","GNITNAHCNE","GNITNAHCNE",TRUE
"84","Glittering","10","text-davinci-003","Spell the word Glittering backwards","1","

gnitteilg","GNIRETTILG","GNITTEILG",FALSE
"85","Strawberry","10","text-davinci-003","Spell the word Strawberry backwards","1","

yerrabwots","YRREBWARTS","YERRABWOTS",FALSE
"86","Friendship","10","text-davinci-003","Spell the word Friendship backwards","1","

tsipihpirt","PIHSDNEIRF","TSIPIHPIRT",FALSE
"87","Everything","10","text-davinci-003","Spell the word Everything backwards","1","

gnihtyrevE","GNIHTYREVE","GNIHTYREVE",TRUE
"88","Appreciate","10","text-davinci-003","Spell the word Appreciate backwards","1","

etaicirppa","ETAICERPPA","ETAICIRPPA",FALSE
"89","Motivation","10","text-davinci-003","Spell the word Motivation backwards","1","

noitavitom","NOITAVITOM","NOITAVITOM",TRUE
"90","Confidence","10","text-davinci-003","Spell the word Confidence backwards","1","

ecneidiffonC","ECNEDIFNOC","ECNEIDIFFONC",FALSE
"91","An","2","text-davinci-003","Spell An backwards. Do it step-by-step and show the last result","2","

Step 1: N

Step 2: A

Last Result","NA","STEP1:NSTEP2:ALASTRESULT",FALSE
"92","As","2","text-davinci-003","Spell As backwards. Do it step-by-step and show the last result","2","

Step 1: spell

Step 2: lles

Step","SA","STEP1:SPELLSTEP2:LLESSTEP",FALSE
"93","At","2","text-davinci-003","Spell At backwards. Do it step-by-step and show the last result","2","

Step 1: Spell

Step 2: llapeS

","TA","STEP1:SPELLSTEP2:LLAPES",FALSE
"94","By","2","text-davinci-003","Spell By backwards. Do it step-by-step and show the last result","2","

Step 1: ylno

Step 2: only
","YB","STEP1:YLNOSTEP2:ONLY",FALSE
"95","Go","2","text-davinci-003","Spell Go backwards. Do it step-by-step and show the last result","2","

Step 1: Go
Step 2: oG
Step 3:","OG","STEP1:GOSTEP2:OGSTEP3:",TRUE
"96","He","2","text-davinci-003","Spell He backwards. Do it step-by-step and show the last result","2",".

eH
H","EH",".EHH",TRUE
"97","In","2","text-davinci-003","Spell In backwards. Do it step-by-step and show the last result","2","

Step 1: Spell = lllaeP

Step 2:","NI","STEP1:SPELL=LLLAEPSTEP2:",FALSE
"98","Is","2","text-davinci-003","Spell Is backwards. Do it step-by-step and show the last result","2","

Step 1: Spell

Step 2: llapeS

","SI","STEP1:SPELLSTEP2:LLAPES",FALSE
"99","Of","2","text-davinci-003","Spell Of backwards. Do it step-by-step and show the last result","2","

Step 1: Spell Of

Step 2: fO lle","FO","STEP1:SPELLOFSTEP2:FOLLE",TRUE
"100","On","2","text-davinci-003","Spell On backwards. Do it step-by-step and show the last result","2",".

elpmeS

eS-lp

lp","NO",".ELPMESESLPLP",FALSE
"101","Cat","3","text-davinci-003","Spell Cat backwards. Do it step-by-step and show the last result","2","

tac
ca
ac","TAC","TACCAAC",TRUE
"102","Dog","3","text-davinci-003","Spell Dog backwards. Do it step-by-step and show the last result","2",".

g
o
w

gow","GOD",".GOWGOW",FALSE
"103","Car","3","text-davinci-003","Spell Car backwards. Do it step-by-step and show the last result","2","

R
A
C","RAC","RAC",TRUE
"104","Sun","3","text-davinci-003","Spell Sun backwards. Do it step-by-step and show the last result","2",".

nus
su
us
Sun","NUS",".NUSSUUSSUN",TRUE
"105","Rat","3","text-davinci-003","Spell Rat backwards. Do it step-by-step and show the last result","2","

T
A
R","TAR","TAR",TRUE
"106","Man","3","text-davinci-003","Spell Man backwards. Do it step-by-step and show the last result","2","

N-A-M","NAM","NAM",TRUE
"107","Red","3","text-davinci-003","Spell Red backwards. Do it step-by-step and show the last result","2",".

d-e-r

r-e-d","DER",".DERRED",TRUE
"108","Fun","3","text-davinci-003","Spell Fun backwards. Do it step-by-step and show the last result","2","

elpus

sulp

lupS","NUF","ELPUSSULPLUPS",FALSE
"109","Run","3","text-davinci-003","Spell Run backwards. Do it step-by-step and show the last result","2"," first

Result:

nalp
plan
","NUR","FIRSTRESULT:NALPPLAN",FALSE
"110","Hat","3","text-davinci-003","Spell Hat backwards. Do it step-by-step and show the last result","2",".

tahS
h
a
t
Hat","TAH",".TAHSHATHAT",TRUE
"111","Fish","4","text-davinci-003","Spell Fish backwards. Do it step-by-step and show the last result","2","

h-s-i-F
F-i-s-","HSIF","HSIFFIS",TRUE
"112","Fire","4","text-davinci-003","Spell Fire backwards. Do it step-by-step and show the last result","2",".

Step 1: reF
Step 2: erF
Step","ERIF",".STEP1:REFSTEP2:ERFSTEP",FALSE
"113","Fowl","4","text-davinci-003","Spell Fowl backwards. Do it step-by-step and show the last result","2","

wloF

Fwlo","LWOF","WLOFFWLO",FALSE
"114","Hill","4","text-davinci-003","Spell Hill backwards. Do it step-by-step and show the last result","2",".

L
L L
H L L
L H L L","LLIH",".LLLHLLLHLL",FALSE
"115","Hair","4","text-davinci-003","Spell Hair backwards. Do it step-by-step and show the last result","2","

R
A
E
H

HaeR","RIAH","RAEHHAER",FALSE
"116","Hand","4","text-davinci-003","Spell Hand backwards. Do it step-by-step and show the last result","2","

drah
h
al
l
eH","DNAH","DRAHHALLEH",FALSE
"117","Moon","4","text-davinci-003","Spell Moon backwards. Do it step-by-step and show the last result","2",".

nooM

Step 1: noo

Step","NOOM",".NOOMSTEP1:NOOSTEP",TRUE
"118","Star","4","text-davinci-003","Spell Star backwards. Do it step-by-step and show the last result","2",".

r
a
t
S","RATS",".RATS",TRUE
"119","Tide","4","text-davinci-003","Spell Tide backwards. Do it step-by-step and show the last result","2",".

Step 1: ediT
Step 2: ediT","EDIT",".STEP1:EDITSTEP2:EDIT",TRUE
"120","Wind","4","text-davinci-003","Spell Wind backwards. Do it step-by-step and show the last result","2",".

dniw

w

nw

dnow","DNIW",".DNIWWNWDNOW",TRUE
"121","Apple","5","text-davinci-003","Spell Apple backwards. Do it step-by-step and show the last result","2","

eppla -> alppE -> Elppa","ELPPA","EPPLA>ALPPE>ELPPA",TRUE
"122","Bench","5","text-davinci-003","Spell Bench backwards. Do it step-by-step and show the last result","2","

hcneB hctep

pcehtB h","HCNEB","HCNEBHCTEPPCEHTBH",TRUE
"123","Chair","5","text-davinci-003","Spell Chair backwards. Do it step-by-step and show the last result","2",".

1. Chair
2. Riahc
3. H","RIAHC",".1.CHAIR2.RIAHC3.H",TRUE
"124","Dance","5","text-davinci-003","Spell Dance backwards. Do it step-by-step and show the last result","2","

1. Step: Step back with your right foot
2. Step","ECNAD","1.STEP:STEPBACKWITHYOURRIGHTFOOT2.STEP",FALSE
"125","Eaten","5","text-davinci-003","Spell Eaten backwards. Do it step-by-step and show the last result","2","

Step 1: Eaten

Step 2: Neate

","NETAE","STEP1:EATENSTEP2:NEATE",FALSE
"126","Floor","5","text-davinci-003","Spell Floor backwards. Do it step-by-step and show the last result","2","

1. Floor
2. Roolf
3. Loorf","ROOLF","1.FLOOR2.ROOLF3.LOORF",TRUE
"127","Glass","5","text-davinci-003","Spell Glass backwards. Do it step-by-step and show the last result","2",".

Ssalg
Lgass
Ssagl
","SSALG",".SSALGLGASSSSAGL",TRUE
"128","House","5","text-davinci-003","Spell House backwards. Do it step-by-step and show the last result","2",".

e

se

esu

esuh
","ESUOH",".ESEESUESUH",FALSE
"129","Image","5","text-davinci-003","Spell Image backwards. Do it step-by-step and show the last result","2","

Step 1: Begin with the image of the spell

Step 2","EGAMI","STEP1:BEGINWITHTHEIMAGEOFTHESPELLSTEP2",FALSE
"130","Juice","5","text-davinci-003","Spell Juice backwards. Do it step-by-step and show the last result","2","

e-l-i-u-j
j-u-","ECIUJ","ELIUJJU",FALSE
"131","Bumble","6","text-davinci-003","Spell Bumble backwards. Do it step-by-step and show the last result","2","

elbmub

e-l-b-m-u","ELBMUB","ELBMUBELBMU",TRUE
"132","Cuddle","6","text-davinci-003","Spell Cuddle backwards. Do it step-by-step and show the last result","2",".

Step 1: Dooglec
Step 2: Elgooc","ELDDUC",".STEP1:DOOGLECSTEP2:ELGOOC",FALSE
"133","Flurry","6","text-davinci-003","Spell Flurry backwards. Do it step-by-step and show the last result","2","

yrullfF lleps

y = y
","YRRULF","YRULLFFLLEPSY=Y",FALSE
"134","Giggle","6","text-davinci-003","Spell Giggle backwards. Do it step-by-step and show the last result","2","

e
g
g
i
l
l
e
","ELGGIG","EGGILLE",FALSE
"135","Humble","6","text-davinci-003","Spell Humble backwards. Do it step-by-step and show the last result","2",".

elbmuh

e + l + b + m +","ELBMUH",".ELBMUHE+L+B+M+",TRUE
"136","Jumble","6","text-davinci-003","Spell Jumble backwards. Do it step-by-step and show the last result","2",".

elbmuj

j
mu
lbe
j","ELBMUJ",".ELBMUJJMULBEJ",TRUE
"137","Kettle","6","text-davinci-003","Spell Kettle backwards. Do it step-by-step and show the last result","2","

Step 1: Kettle

Step 2: Elttel
","ELTTEK","STEP1:KETTLESTEP2:ELTTEL",FALSE
"138","Little","6","text-davinci-003","Spell Little backwards. Do it step-by-step and show the last result","2",".

elttil
littel","ELTTIL",".ELTTILLITTEL",TRUE
"139","Muzzle","6","text-davinci-003","Spell Muzzle backwards. Do it step-by-step and show the last result","2","

Step 1: Elzzum
Step 2: ElzzuM","ELZZUM","STEP1:ELZZUMSTEP2:ELZZUM",TRUE
"140","Noodle","6","text-davinci-003","Spell Noodle backwards. Do it step-by-step and show the last result","2","

e
l
d
o
o
n

N","ELDOON","ELDOONN",TRUE
"141","Chasing","7","text-davinci-003","Spell Chasing backwards. Do it step-by-step and show the last result","2","

Result:

Step 1: singahC hceT
","GNISAHC","RESULT:STEP1:SINGAHCHCET",FALSE
"142","Blazing","7","text-davinci-003","Spell Blazing backwards. Do it step-by-step and show the last result","2","

Ezalb

Lbaez

Zebla","GNIZALB","EZALBLBAEZZEBLA",FALSE
"143","Dazzled","7","text-davinci-003","Spell Dazzled backwards. Do it step-by-step and show the last result","2",".

Step 1: Dazzled <U+2192> 

Step 2:","DELZZAD",".STEP1:DAZZLED<U+2192>STEP2:",FALSE
"144","Eclipse","7","text-davinci-003","Spell Eclipse backwards. Do it step-by-step and show the last result","2",".

p-e-l-c-c-e-s","ESPILCE",".PELCCES",FALSE
"145","Fizzled","7","text-davinci-003","Spell Fizzled backwards. Do it step-by-step and show the last result","2","

Step 1: Zillziff
Step 2: Ziffz","DELZZIF","STEP1:ZILLZIFFSTEP2:ZIFFZ",FALSE
"146","Glimmer","7","text-davinci-003","Spell Glimmer backwards. Do it step-by-step and show the last result","2","

rempilg

G = g
I = i
","REMMILG","REMPILGG=GI=I",FALSE
"147","Hissing","7","text-davinci-003","Spell Hissing backwards. Do it step-by-step and show the last result","2","

Step 1: Ssih
Step 2: SsiH
","GNISSIH","STEP1:SSIHSTEP2:SSIH",FALSE
"148","Juggler","7","text-davinci-003","Spell Juggler backwards. Do it step-by-step and show the last result","2",".

reggluJ Gluj

reggluJ","RELGGUJ",".REGGLUJGLUJREGGLUJ",FALSE
"149","Kingdom","7","text-davinci-003","Spell Kingdom backwards. Do it step-by-step and show the last result","2","

gnimyK","MODGNIK","GNIMYK",FALSE
"150","Drifted","7","text-davinci-003","Spell Drifted backwards. Do it step-by-step and show the last result","2","

Step 1: Drifted
Step 2: Tterfid
","DETFIRD","STEP1:DRIFTEDSTEP2:TTERFID",FALSE
"151","Bouncing","8","text-davinci-003","Spell Bouncing backwards. Do it step-by-step and show the last result","2","

Step 1: Bouncing

Step 2: gninnocB","GNICNUOB","STEP1:BOUNCINGSTEP2:GNINNOCB",FALSE
"152","Clamping","8","text-davinci-003","Spell Clamping backwards. Do it step-by-step and show the last result","2","

Step 1: gnamppalC

Step 2: l","GNIPMALC","STEP1:GNAMPPALCSTEP2:L",FALSE
"153","Dreaming","8","text-davinci-003","Spell Dreaming backwards. Do it step-by-step and show the last result","2","

Step 1: gnimaeS

Step 2: gnima","GNIMAERD","STEP1:GNIMAESSTEP2:GNIMA",FALSE
"154","Haunting","8","text-davinci-003","Spell Haunting backwards. Do it step-by-step and show the last result","2","

G
N
A
U
T
N
I
","GNITNUAH","GNAUTNI",FALSE
"155","Laughing","8","text-davinci-003","Spell Laughing backwards. Do it step-by-step and show the last result","2","

Step 1: gnihgual
Step 2: laugnih","GNIHGUAL","STEP1:GNIHGUALSTEP2:LAUGNIH",TRUE
"156","Chanting","8","text-davinci-003","Spell Chanting backwards. Do it step-by-step and show the last result","2","

Step 1: gnitahcS

Step 2: h","GNITNAHC","STEP1:GNITAHCSSTEP2:H",FALSE
"157","Grinning","8","text-davinci-003","Spell Grinning backwards. Do it step-by-step and show the last result","2","

Step 1: NIGRIN
Step 2: NIRG","GNINNIRG","STEP1:NIGRINSTEP2:NIRG",FALSE
"158","Swimming","8","text-davinci-003","Spell Swimming backwards. Do it step-by-step and show the last result","2","

Step 1: Push off the wall with your feet and extend your arms","GNIMMIWS","STEP1:PUSHOFFTHEWALLWITHYOURFEETANDEXTENDYOURARMS",FALSE
"159","Accident","8","text-davinci-003","Spell Accident backwards. Do it step-by-step and show the last result","2","

tnedicca

tnec

tne

","TNEDICCA","TNEDICCATNECTNE",TRUE
"160","Building","8","text-davinci-003","Spell Building backwards. Do it step-by-step and show the last result","2","

Step 1: 

Add the suffix ""-ing"" to the","GNIDLIUB","STEP1:ADDTHESUFFIX""ING""TOTHE",FALSE
"161","Birthday","8","text-davinci-003","Spell Birthday backwards. Do it step-by-step and show the last result","2","

yadtsreB","YADHTRIB","YADTSREB",FALSE
"162","Breathing","9","text-davinci-003","Spell Breathing backwards. Do it step-by-step and show the last result","2","

Step 1: gnihcaerb
Step 2: rebihc","GNIHTAERB","STEP1:GNIHCAERBSTEP2:REBIHC",FALSE
"163","Backpacks","9","text-davinci-003","Spell Backpacks backwards. Do it step-by-step and show the last result","2","

Step 1: skcacpak
Step 2: kc","SKCAPKCAB","STEP1:SKCACPAKSTEP2:KC",FALSE
"164","Adulthood","9","text-davinci-003","Spell Adulthood backwards. Do it step-by-step and show the last result","2","

d

l

u

t

d
","DOOHTLUDA","DLUTD",FALSE
"165","Equipping","9","text-davinci-003","Spell Equipping backwards. Do it step-by-step and show the last result","2","

1. Un-equip the spell 
2. Remove the","GNIPPIUQE","1.UNEQUIPTHESPELL2.REMOVETHE",FALSE
"166","Victimize","9","text-davinci-003","Spell Victimize backwards. Do it step-by-step and show the last result","2",".

e

i

z

i

t","EZIMITCIV",".EIZIT",FALSE
"167","Knockoffs","9","text-davinci-003","Spell Knockoffs backwards. Do it step-by-step and show the last result","2","

Step 1: sfoffkcolK

Step 2:","SFFOKCONK","STEP1:SFOFFKCOLKSTEP2:",FALSE
"168","Backtrack","9","text-davinci-003","Spell Backtrack backwards. Do it step-by-step and show the last result","2",".

kcarttakc ->
ckattarkc ->
","KCARTKCAB",".KCARTTAKC>CKATTARKC>",FALSE
"169","Chipmunks","9","text-davinci-003","Spell Chipmunks backwards. Do it step-by-step and show the last result","2","

Step 1: sknupmuhC kipmuhC","SKNUMPIHC","STEP1:SKNUPMUHCKIPMUHC",FALSE
"170","Cyberpunk","9","text-davinci-003","Spell Cyberpunk backwards. Do it step-by-step and show the last result","2",".

K

N

U

P

Y","KNUPREBYC",".KNUPY",FALSE
"171","Paychecks","9","text-davinci-003","Spell Paychecks backwards. Do it step-by-step and show the last result","2","

Step 1: Paycheck

Step 2: Checkpay

","SKCEHCYAP","STEP1:PAYCHECKSTEP2:CHECKPAY",FALSE
"172","Delightful","10","text-davinci-003","Spell Delightful backwards. Do it step-by-step and show the last result","2",".

1. Delightful
2. Fulightted
3","LUFTHGILED",".1.DELIGHTFUL2.FULIGHTTED3",FALSE
"173","Enchanting","10","text-davinci-003","Spell Enchanting backwards. Do it step-by-step and show the last result","2","

Step 1: gnitnahcneS tnapE h","GNITNAHCNE","STEP1:GNITNAHCNESTNAPEH",TRUE
"174","Glittering","10","text-davinci-003","Spell Glittering backwards. Do it step-by-step and show the last result","2",".

1. Gnitterilg
2. Gnitteirlg","GNIRETTILG",".1.GNITTERILG2.GNITTEIRLG",FALSE
"175","Strawberry","10","text-davinci-003","Spell Strawberry backwards. Do it step-by-step and show the last result","2","

y

w

e

t

t
","YRREBWARTS","YWETT",FALSE
"176","Friendship","10","text-davinci-003","Spell Friendship backwards. Do it step-by-step and show the last result","2",".

pihsnoom
moonship","PIHSDNEIRF",".PIHSNOOMMOONSHIP",FALSE
"177","Everything","10","text-davinci-003","Spell Everything backwards. Do it step-by-step and show the last result","2","

step 1: sdrawkcab

step 2: b","GNIHTYREVE","STEP1:SDRAWKCABSTEP2:B",FALSE
"178","Appreciate","10","text-davinci-003","Spell Appreciate backwards. Do it step-by-step and show the last result","2",".

Step 1: Appreciate

Step 2: ete","ETAICERPPA",".STEP1:APPRECIATESTEP2:ETE",FALSE
"179","Motivation","10","text-davinci-003","Spell Motivation backwards. Do it step-by-step and show the last result","2","

1. noitavitom
2. noitavit","NOITAVITOM","1.NOITAVITOM2.NOITAVIT",TRUE
"180","Confidence","10","text-davinci-003","Spell Confidence backwards. Do it step-by-step and show the last result","2","

Step 1: eifidnecefnoC

Step","ECNEDIFNOC","STEP1:EIFIDNECEFNOCSTEP",FALSE
"181","An","2","text-davinci-003","Spell A-N backwards","3","

N-A","NA","NA",TRUE
"182","As","2","text-davinci-003","Spell A-S backwards","3","

S-A","SA","SA",TRUE
"183","At","2","text-davinci-003","Spell A-T backwards","3","

T-A","TA","TA",TRUE
"184","By","2","text-davinci-003","Spell B-Y backwards","3","

Y-B","YB","YB",TRUE
"185","Go","2","text-davinci-003","Spell G-O backwards","3","

O-G","OG","OG",TRUE
"186","He","2","text-davinci-003","Spell H-E backwards","3","

E-H","EH","EH",TRUE
"187","In","2","text-davinci-003","Spell I-N backwards","3","

N-I","NI","NI",TRUE
"188","Is","2","text-davinci-003","Spell I-S backwards","3","

S-I","SI","SI",TRUE
"189","Of","2","text-davinci-003","Spell O-F backwards","3","

F-O","FO","FO",TRUE
"190","On","2","text-davinci-003","Spell O-N backwards","3","

N-O","NO","NO",TRUE
"191","Cat","3","text-davinci-003","Spell C-A-T backwards","3","

T-A-C","TAC","TAC",TRUE
"192","Dog","3","text-davinci-003","Spell D-O-G backwards","3","

G-O-D","GOD","GOD",TRUE
"193","Car","3","text-davinci-003","Spell C-A-R backwards","3","

R-A-C","RAC","RAC",TRUE
"194","Sun","3","text-davinci-003","Spell S-U-N backwards","3","

N-U-S","NUS","NUS",TRUE
"195","Rat","3","text-davinci-003","Spell R-A-T backwards","3","

T-A-R","TAR","TAR",TRUE
"196","Man","3","text-davinci-003","Spell M-A-N backwards","3","

N-A-M","NAM","NAM",TRUE
